FR;FR-MC;RNN Chastreix-Sancy;reserve;interdit;Camping et bivouac interdits (amende 68 EUR, 1500 EUR si feu), bivouac scientifique sur autorisation préfectorale uniquement, aires de bivouac aménagées hors réserve dans le massif du Sancy;interdit;GR®4, GR®30;https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000824283/;2007-07-13;2026-09-21;FAIT;Décret 2007-1091, versant sud du Sancy. MAJ 2026-09-21 : decret 2007-1091 confirme toujours en vigueur (recoupement Legifrance/AIDA via WebSearch, lecture directe bloquee ce run), seule modification identifiee (decret 2023-450, alpinisme hivernal) sans impact sur la regle bivouac.
FR;FR-CORSE;RNN de Scandola;reserve;interdit;Camping et bivouac totalement interdits, zone intégrale sans débarquement, survol sous 1000 m interdit;interdit;Mare e Monti (proximité);https://www.pnr.corsica/fr/patrimoine-naturel-culturel/gestion-des-sites/scandola;1975-12-09;2026-09-21;FAIT;Décret 75-1128, en cours de révision (enquête publique 2025). MAJ 2026-09-21 : la revision du decret de 1975 reste au stade de projet (discussions en cours mi-2026 selon France 3 et les prefectures corses), aucun nouveau decret publie. Un plan de regulation (formations professionnelles des le 04/05/2026, QR codes) demarre en parallele sans attendre le decret. Regle d'interdiction totale du bivouac inchangee.
ES;ES-NAV-RIO-ARA;PN Posets-Maladeta;parc-naturel;tolere;Pernocta avec ou sans tente autorisée au-dessus de 2000 m, 20h-8h, une nuit par emplacement, interdit à moins de 500 m des refuges gardés (La Renclusa, Angel Orus), terrain privé = accord du propriétaire;interdit;GR®11-ES, HRP;https://www.aragon.es/-/parque-natural-de-posets-maladeta;2014-10-21;2026-09-20;HYPOTHESE;PRUG Decreto 168/2014 Gobierno de Aragón. MAJ 2026-08-31 : source directe inaccessible ce run (proxy), recoupement (montanaregulada.org, aragonhoy.es, boa.aragon.es) confirme le décret toujours en vigueur, aucun changement. MAJ 2026-09-20 : page source lue directement (HTTP 200) mais entièrement refondue en portail générique du parc (liste de sentiers/PDF infrastructures), elle ne contient plus aucun texte sur la pernocta/acampada (aucune mention de 2000 m, horaires, distance aux refuges) ; seul lien restant vers une page normative générique aragon.es sans détail Posets-Maladeta. Règle conservée telle quelle (dernière confirmation textuelle directe du PRUG Decreto 168/2014 remontant à 2014), statut repassé en HYPOTHESE faute de source officielle affichant encore le contenu réglementaire précis. À rechercher au prochain run : le PRUG ou son arrêté publié en PDF sur boa.aragon.es.
ES;ES-CAT;PN de l'Alt Pirineu;parc-naturel;tolere;Acampada en mode haute montagne au-dessus de 2000 m, 20h-8h, une nuit par emplacement, tente non montée en journée (8h-20h) : AUCUNE autorisation préalable requise pour cette modalité. En dessous de 2000 m, hors horaires 20h-8h, plus d'un jour au même endroit, ou plus de 3 tentes groupées : autorisation nominative préalable obligatoire (demande gencat ~15 jours avant, liste des participants nom/prénom/n° ID) auprès du Parc ET du propriétaire du terrain, délivrée pour motifs éducatifs/scientifiques/gestion du milieu naturel;interdit;GR®11-ES;https://parcsnaturals.gencat.cat/en/xarxa-de-parcs/alt-pirineu/gaudeix-del-parc/consells/regulacio-activitats/index.html;2018-12-13;2026-09-14;HYPOTHESE;Accord Junta Rectora 13/12/2018, plus restrictif que Posets-Maladeta. Re-vérification du 17/08/2026 : trois recherches indépendantes convergent pour indiquer que la modalité haute montagne (>2000 m, une nuit) ne nécessiterait PAS d'autorisation nominative préalable. MAJ 2026-08-31 : deuxième passage indépendant, trois nouvelles recherches confirment le même constat par un extrait synthétisé de la page officielle elle-même (« no és necessària l'autorització de l'òrgan gestor del Parc » pour cette modalité), conditions mises à jour en conséquence, mais statut laissé en HYPOTHESE faute de lecture humaine directe de la page ou de la brochure PDF (parcsnaturals.gencat.cat/.../Fullet-acampada-CATvd.pdf), à faire avant de passer en FAIT vu l'enjeu amende. MAJ 2026-09-07 : parcsnaturals.gencat.cat inaccessible (blocage reseau systemique, y compris le PDF Fullet-acampada). Troisieme recherche independante reconfirme par citation quasi identique l'absence d'autorisation nominative requise pour la modalite haute montagne (>2000 m, une nuit). Statut maintenu HYPOTHESE faute de lecture humaine directe de la page ou de la brochure officielle. MAJ 2026-09-14 : quatrieme run independant (apres 17/08, 31/08, 07/09) reconfirmant a l'identique, via extraits attribues a la page officielle gencat, l'absence d'autorisation nominative requise pour la modalite haute montagne (>2000 m, une nuit, 20h-8h). Convergence tres stable sur 4 recherches independantes espacees dans le temps. Statut maintenu HYPOTHESE faute de lecture humaine directe de la page ou de la brochure officielle (WebFetch bloque ce run).
UK;UK-IE;Ecosse - droit d'acces responsable;regle-generale;autorise;Land Reform (Scotland) Act 2003 + Scottish Outdoor Access Code (2005) : camping sauvage leger legal sur la plupart des terres, petits groupes, 2-3 nuits max au meme endroit, loin des habitations, routes et champs clotures, sans trace;tolere - petits feux controles admis par le Code hors periodes seches, rechaud recommande;West Highland Way, Cape Wrath Trail, Great Glen Way, Skye Trail;https://www.outdooraccess-scotland.scot/act-and-access-code/land-reform-act/land-reform-act-legal;2005;2026-09-14;FAIT;Rare pays europeen ou le camping sauvage est un droit legal explicite. MAJ 2026-08-24 : source directe inaccessible ce run, recoupement confirme le Land Reform Act 2003 et le SOAC toujours en vigueur, aucun changement. MAJ 2026-09-14 : Land Reform (Scotland) Act 2025 (sanction royale 16/12/2025) entre en vigueur partiellement en 2026, mais ses articles portent sur les commissaires fonciers et un bail-type pour les huttes, sans lien avec le droit d'acces du SOAC. Land Reform Act 2003 et Code de 2005 inchanges. Seule evolution locale reperee : tarif du permis de camping des zones gerees de Loch Lomond & Trossachs releve a 4,50£/nuit en 2026 (hors perimetre de cette fiche).
UK;UK-IE;Loch Lomond and the Trossachs NP - Camping Management Zones;NP;variable;Exception au droit ecossais : byelaws 2017, du 1er mars au 30 septembre permis obligatoire (4,50 GBP/tente/nuit en 2026, reservation jusqu'a 4 semaines avant) dans les zones de gestion (moins de 4% du parc, rives des lochs), hors saison SOAC normal, amende jusqu'a 500 GBP;tolere - regles SOAC + consignes locales, rechaud recommande;West Highland Way (rive est du Loch Lomond en zone a permis);https://www.lochlomond-trossachs.org/things-to-do/camping/campingbyelaws/;2017;2026-09-07;FAIT;Tarif permis 2026 verifie. MAJ 2026-08-24 : source directe inaccessible ce run, recoupement reconfirme le tarif 4,50 GBP/tente/nuit. Une consultation publique sur la révision décennale des byelaws est ouverte jusqu'au 21/09/2026, à surveiller au prochain passage. MAJ 2026-09-07 : Acces direct bloque (contrainte reseau de la session), verification par recherche ciblee. Tarif 4,50 GBP/tente/nuit, saison 1/03-30/09 et amende jusqu'a 500 GBP reconfirmes via lochlomond-trossachs.org, consultation sur la revision des byelaws toujours ouverte jusqu'au 21/09/2026, aucun changement.
UK;UK-IE;Angleterre et Pays de Galles - regle generale;regle-generale;interdit;Pas de droit general au camping sauvage : sans permission du proprietaire c'est un trespass (civil), tolerance de fait en haute montagne (Eryri, Bannau Brycheiniog) si discretion totale, arrivee tard partir tot. Exception : sur le Dartmoor (Devon), la Cour supreme britannique a confirme en mai 2025 le droit au bivouac sans autorisation du proprietaire, seul cas de ce type en Angleterre et au Pays de Galles;interdit - feux ouverts interdits ou proscrits en pratique, rechaud;National Trails (Pennine Way, South West Coast Path, Coast to Coast) : prevoir campings ou permission prealable;https://osmaps.com/discover/guides/is-wild-camping-legal-in-england-wales/;2026;2026-09-20;FAIT;"Ordnance Survey = organisme public, guidance et non texte de loi ; l'URL getoutside.ordnancesurvey.co.uk redirige desormais vers osmaps.com (meme editeur), source_url mise a jour en consequence. MAJ 2026-08-31 : source directe inaccessible ce run (proxy), recoupement (BMC, ITV News, Bishop and Sewell, Open Spaces Society) confirme la règle inchangée, arrêt Dartmoor (Darwall v DNPA) daté avec précision au 21/05/2025. À surveiller sans impact actuel : un Wild Camping (Wales) Bill est en commission au Senedd, pas encore adopté."
UK;UK-IE;Dartmoor NP - droit au backpack camping;NP;autorise;Cour supreme 21/05/2025 (Darwall v Dartmoor NPA, decision definitive) : le camping sauvage est un droit sur les Dartmoor Commons via s.10(1) du Dartmoor Commons Act 1985, zones autorisees cartographiees par la DNPA, max 2 nuits consecutives (byelaws), tente portee a pied uniquement;interdit - feux interdits par les byelaws du parc, rechaud tolere;Two Moors Way, Dartmoor Way;https://www.thebmc.co.uk/en/supreme-court-rules-that-wild-camping-on-dartmoor-is-legal;2025-05-21;2026-09-21;FAIT;Seul territoire d'Angleterre-Galles avec droit au camping sauvage. MAJ 2026-08-24 : source directe inaccessible ce run, recoupement confirme l'arrêt Darwall v DNPA (UKSC, 21/05/2025) et la limite de 2 nuits consécutives, aucun changement. MAJ 2026-09-07 : Acces direct bloque (contrainte reseau de la session), verification par recherche ciblee. Arret Darwall v DNPA (Cour supreme, 21/05/2025) et limite de 2 nuits consecutives reconfirmes via plusieurs sources juridiques citant le jugement, aucun changement. MAJ 2026-09-21 : aucune evolution legislative ou judiciaire depuis l'arret Darwall du 21/05/2025. Le pourvoi de Darwall etait le dernier recours possible, desormais clos, aucun changement.
IE;UK-IE;Irlande - regle generale;regle-generale;interdit;Pas de droit d'acces general (pas de right to roam), quasi-totalite des terres privées, permission du proprietaire requise (trespass sinon), tolerance de fait en montagne isolee si discretion;tolere - pas d'interdiction nationale unique mais terrain prive et risque incendie de vegetation, rechaud conseille;Wicklow Way et Kerry Way traversent surtout des terres privées : permission, campings, ou les 3 abris Adirondack de la Wicklow Way (Mucklagh, Mullacor, Brusher's Gap);https://irelandwide.com/wild-camping-in-ireland/;2025;2026-09-14;HYPOTHESE;"Source secondaire, confirmer sur citizensinformation.ie MAJ 2026-08-10 : citizensinformation.ie (source officielle) confirme l'absence de droit de passage general et le statut permissif des waymarked trails, sans traiter explicitement du bivouac. Regle bivouac elle-meme toujours non confirmee par un texte officiel. MAJ 2026-08-24 : WebFetch bloqué ce run (proxy), mais recherche indexée pointe deux sources officielles/semi-publiques prometteuses non encore lues directement : nationalparks.ie (NPWS, wilderness camping du Wicklow Mountains NP hors Glendalough, plus de 400 m des routes/bâtiments, max 2 nuits) et coillte.ie (Coillte Recreation Policy, camping sous permission en forêt domaniale sauf 5 sites de bivouac désignés sur les National Waymarked Ways). À confirmer par lecture directe avant tout passage à FAIT. MAJ 2026-09-06 : source officielle partielle confirmee sur terrain domanial - la FAQ officielle de Coillte (societe d'Etat forestiere, coillte.ie/coillte-faqs/can-camp-coillte-forests/) precise camping autorise seulement sur emplacements limites : 2 camping/caravan parks et 5 sites de wild camping designes sur les longues distances, plus permis scouts/jeunes. Confirme la regle interdit-sauf-sites-designes sur les terres domaniales, coherente avec la fiche. Pour le reste du territoire (terrain prive, l'essentiel du pays), aucun texte unique de bivouac n'existe : la restriction decoule du droit de propriete (pas de right to roam), deja etabli via citizensinformation.ie. Statut laisse en HYPOTHESE faute de texte legislatif couvrant 100% du territoire ; coillte.ie ajoute comme source secondaire officielle. MAJ 2026-09-07 : citizensinformation.ie, nationalparks.ie et coillte.ie inaccessibles (blocage reseau systemique). Aucun texte legislatif nouveau couvrant 100% du territoire trouve pour le bivouac ; le detail Wicklow Mountains NP (500 m des routes/batiments, deplacement de la tente apres chaque 2e nuit) est confirme separement en ligne dediee (voir fiche Wicklow Mountains NP) et affine, sans contredire, la piste deja notee ici (400 m/max 2 nuits). Statut maintenu HYPOTHESE, le droit commun terrestre irlandais restant fonde sur l'absence de right to roam (citizensinformation.ie) plutot que sur un texte propre au bivouac. MAJ 2026-09-14 : confirmation supplementaire sur le volet domanial via coillte.ie/coillte-faqs : 7 sites designes au total identifies (2 camping/caravan parks a Lough Key et Curragh Chase, 5 wild camping spots sur Slieve Bloom Way x2, Kerry Way x1, Avondhu Way x1, Western Way x1), plus detaille qu'avant mais sans nouveau texte legislatif. Le terrain prive (l'essentiel du territoire) reste regi par l'absence de right to roam (citizensinformation.ie, deja confirme), aucun texte dedie au bivouac. Statut maintenu HYPOTHESE."
IE;UK-IE;Wicklow Mountains NP;NP;autorise;Wilderness camping autorise dans le parc SAUF vallee de Glendalough (interdiction totale), a plus de 500 m de toute route carrossable et de tout batiment, deplacer la tente apres 2 nuits, sans trace;interdit - aucun feu autorise (Wild Camping Code du parc);Wicklow Way;https://www.nationalparks.ie/wicklow/;2026;2026-09-07;FAIT;NPWS = agence publique, seule vraie zone de camping sauvage tolere officiellement en Irlande. MAJ 2026-08-24 : source directe inaccessible ce run, recoupement confirme l'interdiction totale à Glendalough et la distance de 500 m, aucun changement. MAJ 2026-09-07 : Acces direct bloque (contrainte reseau de la session), verification par recherche ciblee. Regles de nationalparks.ie reconfirmees quasi mot pour mot (500m route/batiment, deplacement apres 2 nuits, interdiction totale a Glendalough, pas de feu), aucun changement.
NO;SCAND;Norvege - allemannsretten (friluftsloven);regle-generale;autorise;Loi sur le plein air du 28/06/1957 : camping libre sur terres non cultivees (utmark), tente a 150 m minimum des maisons et cabanes habitees, 2 nuits max au meme endroit (davantage en haute montagne et zones eloignees), sans trace;interdit en saison - interdiction generale de feu ouvert en foret et a proximite du 15/04 au 15/09 (sauf endroit manifestement sans risque ou foyers amenages);Reseau DNT, Jotunheimen, Hardangervidda, Rondane, Besseggen;https://www.regjeringen.no/en/documents/outdoor-recreation-act/id172932/;1957-06-28;2026-09-14;FAIT;Traduction officielle de la loi sur regjeringen.no, regle feu confirmee par DNT. MAJ 2026-08-24 : source directe inaccessible ce run, recoupement confirme la règle des 150 m et l'interdiction de feu du 15/04 au 15/09, aucun changement. MAJ 2026-09-14 : aucune modification de la friluftsloven de 1957 identifiee pour 2026. Regle des 150 m et interdiction de feu du 15/04 au 15/09 inchangees, seul un durcissement de l'application locale par les services d'incendie est signale (pas le texte lui-meme).
